交易时间,公众账号ID,商户号,特约商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,应结订单金额,代金券金额,微信退款单号,商户退款单号,退款金额,充值券退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率,订单金额,申请退款金额,费率备注
`2026-04-01 20:37:11,`wxfc262f382d61c3db,`1723333380,`0,`,`4200003049202604018248794132,`6a9e2076f4cc4410b00f6f41d666dc96,`obt9LviKDefZBwqFBsExjuTKGNec,`JSAPI,`SUCCESS,`OTHERS,`CNY,`3.00,`0.00,`0,`0,`0.00,`0.00,`,`,`停车费用,`,`0.02000,`0.54%,`3.00,`0.00,`
`2026-04-01 21:09:47,`wxfc262f382d61c3db,`1723333380,`0,`,`4200003050202604015910728250,`ea45909bafa7450796045c9ca98d7320,`obt9LvmVmzcrzvTNlOvBpNbRrFWI,`JSAPI,`SUCCESS,`OTHERS,`CNY,`3.00,`0.00,`0,`0,`0.00,`0.00,`,`,`停车费用,`,`0.02000,`0.54%,`3.00,`0.00,`
`2026-04-01 11:29:14,`wxfc262f382d61c3db,`1723333380,`0,`,`4200003050202604018529814406,`06fddd62eb084028a1cc6c563330b465,`obt9LvhGWAkbVPWgEWdU8azYt3UU,`JSAPI,`SUCCESS,`CITIC_CREDIT,`CNY,`3.00,`0.00,`0,`0,`0.00,`0.00,`,`,`停车费用,`,`0.02000,`0.54%,`3.00,`0.00,`
`2026-04-01 10:33:54,`wxfc262f382d61c3db,`1723333380,`0,`,`4200003052202604010885300971,`38d6f84d538e495cb6daad0e230947f4,`obt9LvvkEiyuH5pn_cE8158XOAUY,`JSAPI,`SUCCESS,`PAB_CREDIT,`CNY,`3.00,`0.00,`0,`0,`0.00,`0.00,`,`,`停车费用,`,`0.02000,`0.54%,`3.00,`0.00,`
`2026-04-01 11:45:21,`wxfc262f382d61c3db,`1723333380,`0,`,`4200003054202604014363774936,`a2ec3d3a2576494bb155b8046e855623,`obt9LvqrztrxHLTABOYtaFdDZfqw,`JSAPI,`SUCCESS,`CCB_CREDIT,`CNY,`6.00,`0.00,`0,`0,`0.00,`0.00,`,`,`停车费用,`,`0.03000,`0.54%,`6.00,`0.00,`
`2026-04-01 21:26:45,`wxfc262f382d61c3db,`1723333380,`0,`,`4200003054202604015927757640,`77727c91005946b99fd5cb086bc4f22c,`obt9Lvnrq9nV0gdRg4yWNex3Ae0Y,`JSAPI,`SUCCESS,`ABC_DEBIT,`CNY,`6.00,`0.00,`0,`0,`0.00,`0.00,`,`,`停车费用,`,`0.03000,`0.54%,`6.00,`0.00,`
`2026-04-01 11:56:15,`wxfc262f382d61c3db,`1723333380,`0,`,`4200003055202604014234917085,`9d8f375c7740443f9dc736dd5e6a1961,`obt9LvoBZSh9QCAZ6idwDDUqnZLo,`JSAPI,`SUCCESS,`OTHERS,`CNY,`6.00,`0.00,`0,`0,`0.00,`0.00,`,`,`停车费用,`,`0.03000,`0.54%,`6.00,`0.00,`
`2026-04-01 18:11:29,`wxfc262f382d61c3db,`1723333380,`0,`,`4200003055202604017478345558,`de891b5d4d614dcb8e40396187b3b8fc,`obt9Lvk-C30GQkDZOBPN0vOeglrI,`JSAPI,`SUCCESS,`OTHERS,`CNY,`3.00,`0.00,`0,`0,`0.00,`0.00,`,`,`停车费用,`,`0.02000,`0.54%,`3.00,`0.00,`
`2026-04-01 16:06:06,`wxfc262f382d61c3db,`1723333380,`0,`,`4200003056202604010230706209,`4c1eaa3740ab4801a7a5fb4fcc810ece,`obt9LvoRaciDwKeZKqx2_X1SXIYY,`JSAPI,`SUCCESS,`OTHERS,`CNY,`3.00,`0.00,`0,`0,`0.00,`0.00,`,`,`停车费用,`,`0.02000,`0.54%,`3.00,`0.00,`
`2026-04-01 20:37:17,`wxfc262f382d61c3db,`1723333380,`0,`,`4200003056202604011508894634,`795b84793a334b6abe3b2b6cfb85d252,`obt9LvoFm6Lihi-u7Eha1XSLZngE,`JSAPI,`SUCCESS,`OTHERS,`CNY,`9.00,`0.00,`0,`0,`0.00,`0.00,`,`,`停车费用,`,`0.05000,`0.54%,`9.00,`0.00,`
